,org_label,text,label
0,0,co se děje,2
1,n,"Jsem z nich na prášky...:-D :D ... se divím , že mi jdou posílat smsky ..",0
2,p,Nejlepší bylo Bounty... :-),1
3,0,:D Já jsem četla: z vlaku vypadl kluk Ruda :D,2
4,0,a budou venku i v neděly?=O],2
5,0,Swiss King by měl být ve stálé nabídce,2
6,n,"Hmm, pěkný ""dárek"" asi jako by mi někdo dal něco pod stromeček a k tomu přibalil i splátkový kalendář Homecreditu .... :-(",0
7,n,"jsem z oboru, nakupuji a prodávám hotely každý den, a super cena to teda není....",0
8,n,"Kdyby jste trávili svůj volnej čas v MCD,tak by vás ty chutě přešli,to mi věřte.. :D",0
9,0,"A co zavést i v ČR něco pro vegetariány, veggieburgery atd?...",2
10,p,Super! Jako vždy kočka... :-),1
11,0,A zpívají písničky vážně amorci? :),2
12,0,Dneska bylo zimy až až ....,2
13,p,Jj... hned se teď musím napít Kofoly :),1
14,p,Přesně tyhle mám :),1
15,0,neuvěřitelné!,2
16,0,Tvrdý toast? Kde?,2
17,n,"hm, tak já nakoupila tak se mám na co těšít :-(",0
18,0,Číslo požadavku: 120814/260977,2
19,0,"No upřímně nejsem fanda, ale o jedný restauraci kde jí celkem často mají vím :)",2
20,p,a kolik to stojí prosím informaci? je to hezký:)),1
21,p,Mláďata žiraf jsou moc krásná a v naší ZOO jich můžeme vidět každý rok několik a to je opravdu skvělé,1
22,0,a stačí povolit datové přenosy v mobilu nebo si musím aktivovat internet?,2
23,n,"nic moc...chuťovně nevárazný,málo omáčky,hrozně moc masa ve kterým je tuna oleji...čekal sem něco líšího od breefa ale zklamal mě :/",0
24,n,Váš internet stojí pěkně za piču pořád nám to padá !!!,0
25,0,"Nemuzes mit volani za 2,50 a volani zdarma bud jedno nebo druhe... to da rozum :-)",2
26,p,už je mám na cestě :-),1
27,0,"Dobrý den, poslední dobou mi nestačí u studentského internetu fup. Existuje možnost jak platit méně a mít dat mnohem více?",2
28,0,už zase pondělíííí,2
29,n,"Já si tento týden již zvykám, v úterý jsem takto strávil celý pracovní den, kdy se mi nikdo nedovolal a zmeškal několik důležitých hovorů",0
30,p,co to je? to je krása;),1
31,0,Řek bych že U za 10.000 nikdo nepustí když to auto má mnohem větší cenu ..,2
32,n,hlavně že twisťáci mají havaj a já mám velký ....,0
33,0,"A nemělo to obsahovat aj slovo O2? Nejsem si jistej, jen se ptám...",2
34,p,Jak na něj to Koťe kouká ♥ :),1
35,n,Reklama na brzy krachující podnik :D,0
36,0,hmmm lyže by se hodily... už jsem hlasoval :),2
37,0,"Dobrý den, objednala jsem si voucher na bylinné balzámy a nemohu je na eshopu objednat, jelikož mi to hlásí nesprávný kód. Kde je problém?",2
38,n,taky jsem zkoušela se dostat na stránky milkasotez a nic:((,0
39,n,zabít a je to,0
40,0,"vás to ve škole neučili: mililitr, centilitr, decilitr, půllitr, litr :-D ... a jinak třetinka je malej půllitr ;-)",2
41,n,ale aby se někdo od Milky vyjádřil to ne:((,0
42,p,100% Samsung Galaxy Y je už 4 měsíc HITem měsíce...:),1
43,p,už jsem je měla a jsou dobré :),1
44,0,Nejde mi o mobilní net...já chci levné volání a to je se slevou 75 %...,2
45,0,Mam dotaz sezenu vanilkou kofolu v kauflandu v chebu?,2
46,0,Proč si pořád kupuje ty stejný?! xD,2
47,0,Kam má zaslat fakturu ???,2
48,0,"pavle, myslím že na džus bude doplatek stejně. ale 5kč nikoho nezabije, prostě se to tolik nečepuje",2
49,0,a ta holka jak na nás čuměla.:DDD,2
50,0,Helena by nam mohla platit faktury :D,2
51,n,"Ale kdybys slyšela od pár lidí, jak se dělá, tak už tohle nenapíšeš:D",0
52,n,...protože hračka z happy mealu je základem šťastného vývoje dítěte...zjevně.,0
53,0,opálených je dost,2
54,0,jak to myslite to cislo je o2,2
55,p,díky :-)I Vám :-),1
56,0,Pavel Vesecký uplně jak Semínek.. :DD,2
57,0,"Bohužel:-( Blahopřeji ale vítězce, bylo to o zručnosti a rychlosti",2
58,n,"těžko, když v Hradci dneska neběží :-(",0
59,0,ta moje je ještě v supermarketu,2
60,0,:D To bych chtěla taky..:D,2
61,0,tak asi vemu nabidku jineho operatora....,2
62,0,Slevy na prášky by to chtělo :p,2
63,0,Ty tři minuty stačí na vyčerpání FUP.,2
64,p,můj parfém .. nejlepší :-),1
65,0,"Prosím, prosím měl by někdo nějaký malinký bodíček, děkuji mnohokrát mé id.č.1491722808 na tabulku pro prcka:-)",2
66,0,Já tam byl :),2
67,0,Točili kolem štěstí,2
68,n,Až navýšíte rychlost po vyčerpání FUP alespoň na ubohých 56kbps tak Vám odpustím....,0
69,0,"Adrianka: Chápu, ale asistent by měl poradit, co v této krizové situaci dělat. Nic víc nic miň. :)",2
70,0,a tenhle čas tu byl někde uveřejněn?,2
71,0,správně napiš ID posílám,2
